Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total,
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Pensions and pension credit,110603,b,,,,110603,
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Working age and other benefits,64625,b,,,,64625,
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Disability & incapacity benefits,43087,b,,,,43087,
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Delivery and operations,7808,b,,,,7808,
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Other,1058,b,,,,1058,
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Employment programmes,290,b,,,,290,x
,Benefits & Pensions,Work & Pensions,Day-to-day Spending,Support for local authorities,256,b,,,,256,x
,Benefits & Pensions,Work & Pensions,Investment,Delivery and operations,271,b,,,,271,
,Benefits & Pensions,Work & Pensions,Investment,Other,190,b,,,,190,
,Benefits & Pensions,HMRC,Day-to-day Spending,Covid-19,19922,b,,,,19922,
,Benefits & Pensions,HMRC,Day-to-day Spending,Personal tax credits,13214.009,b,,,,13214.009,
,Benefits & Pensions,HMRC,Day-to-day Spending,Child Benefit,11932.223,b,,,,11932.223,
,Benefits & Pensions,HMRC,Day-to-day Spending,Other reliefs and allowances,11727.465,b,,,,11727.465,
,Benefits & Pensions,HMRC,Day-to-day Spending,HMRC Administration,4877.631,b,,,,4877.631,
,Benefits & Pensions,HMRC,Day-to-day Spending,Lifetime ISA,512.5,b,,,,512.5,
,Benefits & Pensions,HMRC,Day-to-day Spending,Tax free childcare,399.98,b,,,,399.98,
,Benefits & Pensions,HMRC,Day-to-day Spending,National Insurance Fund,252,b,,,,252,
,Benefits & Pensions,HMRC,Day-to-day Spending,Valuation Office Agency Administration,180.29,b,,,,180.29,
,Benefits & Pensions,HMRC,Day-to-day Spending,Providing payments in lieu of tax relief,120.061,b,,,,120.061,
,Benefits & Pensions,HMRC,Day-to-day Spending,Payment of rates to Local Authorities,88,b,,,,88,
,Benefits & Pensions,HMRC,Day-to-day Spending,Help to Save,29.725,b,,,,29.725,
,Benefits & Pensions,HMRC,Investment,HMRC Administration,634.712,b,,,,634.712,
,Benefits & Pensions,HMRC,Investment,Valuation Office Agency Administration,24.42,b,,,,24.42,
