name,postcode,longitude,latitude
Victoria Library,SW1W 9UD,51.492908,-0.147842
Walsall Register Office,WS1 1TN,52.586383,-1.980858
Walthamstow Library,E17 7JN,51.584476,-0.021061
Wandsworth Register Office,SW18 2PU,51.457414,-0.191052
Warwickshire Registration services ,CV34 4RR ,52.291874,-1.60148
West Bridgford Registration Office,NG2 6AT,52.933642,-1.127495
Wokingham Register Office,RG40 1WH,51.410738,-0.835078
Wolverhampton Register Office,WV1 1RU ,52.58714,-2.129638
Worcester County Hall,WR5 2NP ,52.185545,-2.182554
York Register Office ,YO30 7DA ,53.964147,-1.088231
